customer_id,first_name,last_name,email,quantity,membership_status
883037698491635653,Robert,Ponce,gwalsh@example.net,141,active
416636781440851074,Kathryn,Campbell,lisajones@example.org,138,active
416636781440851074,Kathryn,Patterson,lisajones@example.org,138,active
105568439268969136,Omar,Jackson,yjohnson@example.org,127,active
261985261414427932,Kaitlyn,Raymond,jonespamela@example.org,126,active
811136600265466851,Ricardo,Wheeler,bookerjessica@example.org,125,active
811136600265466851,Mark,Wheeler,bookerjessica@example.org,125,active
47453050786199672,Andrea,Campbell,nguyenkevin@example.com,125,active
908236561118101324,Jessica,Moyer,ronaldbuchanan@example.net,124,active
477720798267676546,John,Smith,jessesoto@example.net,120,active
