customer_id,first_name,last_name,email,quantity
883037698491635653,Robert,Ponce,gwalsh@example.net,141
416636781440851074,Kathryn,Patterson,lisajones@example.org,138
416636781440851074,Kathryn,Campbell,lisajones@example.org,138
105568439268969136,Omar,Jackson,yjohnson@example.org,127
261985261414427932,Kaitlyn,Raymond,jonespamela@example.org,126
47453050786199672,Andrea,Campbell,nguyenkevin@example.com,125
811136600265466851,Ricardo,Wheeler,bookerjessica@example.org,125
811136600265466851,Mark,Wheeler,bookerjessica@example.org,125
908236561118101324,Jessica,Moyer,ronaldbuchanan@example.net,124
547476630659648808,Patrick,White,stephanie63@example.org,120
547476630659648808,Richard,White,stephanie63@example.org,120
477720798267676546,John,Smith,jessesoto@example.net,120
524931818851420477,Allison,Brooks,yvazquez@example.org,115
